Objects
100
,,Global Angle fuselage:fuselage,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
166,0,0.160906,-0.281771,0.172301,3566.692627,-206.355423,1541.946655
167,0,0.158501,-0.283275,0.176218,3585.225098,-203.134995,1541.619263
168,0,0.155515,-0.285730,0.179307,3603.664551,-199.848572,1541.712524
169,0,0.154392,-0.286900,0.182760,3622.440186,-196.495483,1541.651855
170,0,0.152435,-0.290788,0.185362,3641.385254,-193.000809,1541.512817
171,0,0.151153,-0.292320,0.187818,3660.354492,-189.317383,1541.685791
172,0,0.149271,-0.297042,0.190210,3679.148438,-185.775787,1541.944702
173,0,0.149311,-0.299062,0.192292,3697.951660,-182.365738,1542.276001
174,0,0.147871,-0.301816,0.193346,3716.631104,-178.888306,1543.102905
175,0,0.148633,-0.304814,0.194819,3735.734619,-175.427429,1543.365112
176,0,0.148929,-0.307114,0.195981,3754.853760,-171.901489,1543.876953
177,0,0.149279,-0.308148,0.196626,3773.970703,-168.309006,1544.791748
178,0,0.149446,-0.312345,0.196544,3792.885986,-164.752136,1545.843384
179,0,0.151204,-0.315422,0.197124,3812.037109,-160.812500,1546.633667
180,0,0.152009,-0.314940,0.196435,3831.355225,-156.630478,1547.535034
181,0,0.153436,-0.317181,0.195904,3850.473389,-152.276077,1548.764648
182,0,0.155304,-0.318039,0.195358,3869.776611,-147.554153,1549.573730
183,0,0.156360,-0.319153,0.194029,3888.763672,-142.793793,1550.830078
184,0,0.156409,-0.318443,0.192562,3907.710205,-137.973358,1551.987427
185,0,0.158055,-0.319593,0.190782,3926.718506,-132.980011,1553.164185
186,0,0.159268,-0.321809,0.189902,3945.324463,-128.231796,1554.670898
187,0,0.159829,-0.324636,0.187681,3964.118164,-123.240997,1556.155518
188,0,0.160277,-0.327704,0.185604,3982.645020,-118.479324,1557.960571
189,0,0.161242,-0.332527,0.183595,4001.264648,-113.709526,1559.521973
190,0,0.162378,-0.336934,0.180647,4019.944092,-109.169441,1561.167725
191,0,0.162884,-0.340353,0.178410,4038.553223,-104.531303,1563.390503
192,0,0.163707,-0.346888,0.175425,4057.049316,-99.919769,1565.349976
193,0,0.165579,-0.351137,0.172562,4075.641113,-95.414444,1567.183350
194,0,0.166795,-0.356306,0.169545,4094.118164,-90.914261,1569.002075
195,0,0.169587,-0.360425,0.166908,4112.579102,-86.241257,1570.889771
196,0,0.171659,-0.364942,0.163617,4130.987793,-81.435806,1572.512695
197,0,0.174034,-0.368624,0.159605,4149.832520,-76.482498,1573.862793
198,0,0.180603,-0.373542,0.157131,4168.513672,-71.983505,1574.977661
199,0,0.187828,-0.374617,0.154182,4187.371094,-67.579590,1575.641602
200,0,0.190566,-0.378123,0.149994,4206.143555,-63.136482,1576.829834
201,0,0.193927,-0.382142,0.145598,4224.907227,-58.870041,1577.780640
202,0,0.195709,-0.386399,0.141442,4243.559570,-54.713341,1579.027832
203,0,0.199173,-0.389886,0.137158,4262.201660,-50.832161,1579.504272
204,0,0.201326,-0.393490,0.133038,4280.708984,-46.897797,1580.405151
205,0,0.204769,-0.397058,0.129035,4299.237305,-43.084229,1580.852295
206,0,0.203863,-0.400662,0.124026,4317.351562,-39.277451,1581.864014
207,0,0.207758,-0.404146,0.120595,4335.543457,-35.707870,1582.666138
208,0,0.211111,-0.408768,0.116700,4353.935059,-32.282616,1583.107300
209,0,0.214399,-0.411091,0.113349,4372.378418,-28.855160,1583.838013
210,0,0.219696,-0.413430,0.110750,4391.058105,-25.679035,1583.882202
211,0,0.214525,-0.419484,0.104947,4408.602051,-22.813646,1585.842529
212,0,0.216806,-0.424207,0.102100,4426.877930,-20.116430,1586.367065
213,0,0.220555,-0.427158,0.100529,4445.008301,-17.611305,1587.569214
214,0,0.223003,-0.428122,0.098961,4463.837402,-15.180285,1588.601440
215,0,0.225939,-0.431392,0.097813,4482.395996,-12.791629,1589.307983
216,0,0.227867,-0.433779,0.095809,4501.049805,-10.350625,1590.328003
217,0,0.231329,-0.435470,0.095093,4519.707520,-8.095637,1591.546631
218,0,0.234064,-0.437713,0.094245,4538.502930,-5.958350,1592.425049
219,0,0.236404,-0.439355,0.093369,4557.168457,-3.796070,1593.594727
220,0,0.239082,-0.441634,0.092743,4575.689453,-1.892196,1594.754272
221,0,0.241270,-0.442822,0.092080,4594.390137,0.071229,1595.904053
222,0,0.242627,-0.444134,0.091761,4612.902832,1.948338,1597.068604
223,0,0.243936,-0.444715,0.091423,4631.520508,3.726449,1598.340332
224,0,0.244910,-0.447476,0.090719,4650.180664,5.301085,1599.474243
225,0,0.245255,-0.448256,0.090881,4669.050781,6.847028,1600.892334
226,0,0.245970,-0.447559,0.090383,4688.000977,8.147464,1602.571289
227,0,0.246029,-0.448461,0.090350,4706.874512,9.482848,1603.811035
228,0,0.246501,-0.446865,0.090405,4725.982910,10.426819,1605.417725
229,0,0.247016,-0.445620,0.090003,4745.380371,11.220921,1607.103882
230,0,0.246612,-0.443491,0.089365,4764.859863,12.008677,1608.742188
231,0,0.248512,-0.441498,0.089265,4784.470703,12.378814,1610.501709
232,0,0.249275,-0.435248,0.088529,4804.474609,12.849414,1612.727173
233,0,0.251309,-0.436218,0.088152,4824.771484,13.427520,1614.342651
234,0,0.252376,-0.432008,0.087486,4845.259766,13.623556,1616.340210
235,0,0.251802,-0.430951,0.085186,4865.658203,13.820360,1618.361450
236,0,0.252130,-0.428997,0.083684,4886.424316,13.945900,1620.842651
237,0,0.253269,-0.427235,0.083661,4907.829102,14.231004,1622.559814
238,0,0.257198,-0.425101,0.083022,4929.293945,14.155010,1624.033325
239,0,0.257892,-0.423592,0.081363,4950.759277,14.101578,1625.871338
240,0,0.258947,-0.420597,0.080054,4972.534180,14.102436,1627.825562
241,0,0.260687,-0.420252,0.078267,4994.510254,14.307834,1629.388306
242,0,0.262865,-0.418306,0.076328,5016.422363,14.576040,1631.065552
